YEAR,NAME,VARIABLE,VALUE
2018,15-County Region,DEATHS,20319.0
2019,15-County Region,DEATHS,20491.0
2020,15-County Region,DEATHS,23562.0
2021,15-County Region,DEATHS,24512.0
2022,15-County Region,DEATHS,23118.0
2023,15-County Region,DEATHS,21815.0
2010,Delaware,DEATHS,911.0
2011,Delaware,DEATHS,899.0
2012,Delaware,DEATHS,989.0
2013,Delaware,DEATHS,989.0
2014,Delaware,DEATHS,1031.0
2015,Delaware,DEATHS,1069.0
2016,Delaware,DEATHS,1143.0
2017,Delaware,DEATHS,1165.0
2018,Delaware,DEATHS,1236.0
2019,Delaware,DEATHS,1279.0
2020,Delaware,DEATHS,1475.0
2021,Delaware,DEATHS,1525.0
2022,Delaware,DEATHS,1528.0
2023,Delaware,DEATHS,1586.0
2010,Fairfield,DEATHS,1124.0
2011,Fairfield,DEATHS,1134.0
2012,Fairfield,DEATHS,1182.0
2013,Fairfield,DEATHS,1168.0
2014,Fairfield,DEATHS,1191.0
2015,Fairfield,DEATHS,1316.0
2016,Fairfield,DEATHS,1315.0
2017,Fairfield,DEATHS,1397.0
2018,Fairfield,DEATHS,1483.0
2019,Fairfield,DEATHS,1469.0
2020,Fairfield,DEATHS,1684.0
2021,Fairfield,DEATHS,1818.0
2022,Fairfield,DEATHS,1697.0
2023,Fairfield,DEATHS,1554.0
2010,Fayette,DEATHS,334.0
2011,Fayette,DEATHS,357.0
2012,Fayette,DEATHS,343.0
2013,Fayette,DEATHS,353.0
2014,Fayette,DEATHS,351.0
2015,Fayette,DEATHS,372.0
2016,Fayette,DEATHS,364.0
2017,Fayette,DEATHS,409.0
2018,Fayette,DEATHS,352.0
2019,Fayette,DEATHS,384.0
2020,Fayette,DEATHS,396.0
2021,Fayette,DEATHS,441.0
2022,Fayette,DEATHS,423.0
2023,Fayette,DEATHS,406.0
2010,Franklin,DEATHS,8434.0
2011,Franklin,DEATHS,8575.0
2012,Franklin,DEATHS,8732.0
2013,Franklin,DEATHS,8881.0
2014,Franklin,DEATHS,9013.0
2015,Franklin,DEATHS,9636.0
2016,Franklin,DEATHS,9499.0
2017,Franklin,DEATHS,10035.0
2018,Franklin,DEATHS,10171.0
2019,Franklin,DEATHS,10162.0
2020,Franklin,DEATHS,11879.0
2021,Franklin,DEATHS,11870.0
2022,Franklin,DEATHS,11245.0
2023,Franklin,DEATHS,10669.0
2010,Hocking,DEATHS,284.0
2011,Hocking,DEATHS,318.0
2012,Hocking,DEATHS,312.0
2013,Hocking,DEATHS,315.0
2014,Hocking,DEATHS,306.0
2015,Hocking,DEATHS,265.0
2016,Hocking,DEATHS,303.0
2017,Hocking,DEATHS,336.0
2018,Hocking,DEATHS,360.0
2019,Hocking,DEATHS,344.0
2020,Hocking,DEATHS,391.0
2021,Hocking,DEATHS,437.0
2022,Hocking,DEATHS,400.0
2023,Hocking,DEATHS,335.0
2010,Knox,DEATHS,598.0
2011,Knox,DEATHS,648.0
2012,Knox,DEATHS,624.0
2013,Knox,DEATHS,566.0
2014,Knox,DEATHS,563.0
2015,Knox,DEATHS,628.0
2016,Knox,DEATHS,662.0
2017,Knox,DEATHS,646.0
2018,Knox,DEATHS,649.0
2019,Knox,DEATHS,565.0
2020,Knox,DEATHS,769.0
2021,Knox,DEATHS,815.0
2022,Knox,DEATHS,740.0
2023,Knox,DEATHS,709.0
2010,Licking,DEATHS,1458.0
2011,Licking,DEATHS,1428.0
2012,Licking,DEATHS,1555.0
2013,Licking,DEATHS,1468.0
2014,Licking,DEATHS,1550.0
2015,Licking,DEATHS,1701.0
2016,Licking,DEATHS,1574.0
2017,Licking,DEATHS,1705.0
2018,Licking,DEATHS,1754.0
