YEAR,NAME,BIRTHS,DEATHS,NETMIG,POPEST,NATINC,NPOPCHG,RBIRTHS,RDEATHS,RNETMIG,RNATINC,RPOPCHG
2021,Fayette,319,441,34,28934,-122,-88,11.025091587751433,15.241584295292734,1.1750881316098707,-4.216492707541301,-3.04140457593143
2022,Fayette,354,423,29,28832,-69,-40,12.278024417314095,14.671198668146504,1.005826859045505,-2.3931742508324083,-1.3873473917869035
2023,Fayette,301,406,64,28817,-105,-41,10.445223305687614,14.088905854183295,2.2209112676545093,-3.6436825484956796,-1.42277128084117
2010,Franklin,17851,8434,1200,1166202,9417,10617,15.30695368383865,7.23202326869616,1.0289812571064019,8.074930415142488,9.10391167224889
2011,Franklin,18046,8575,5322,1180800,9471,14793,15.282859078590786,7.262025745257453,4.507113821138211,8.020833333333334,12.527947154471546
2012,Franklin,18330,8732,8741,1199045,9598,18339,15.28716603630389,7.2824622929081055,7.28996826641202,8.004703743395785,15.294672009807805
2013,Franklin,18771,8881,10148,1218878,9890,20038,15.400228734951325,7.286209120190865,8.325689691667256,8.11401961476046,16.439709306427716
2014,Franklin,18880,9013,9496,1238362,9867,19363,15.245945854281704,7.2781626051186965,7.668193952979823,7.9677832491630065,15.63597720214283
2015,Franklin,19064,9636,9745,1257386,9428,19173,15.16161306074666,7.663517805987978,7.750205585237946,7.498095254758682,15.248300839996629
2016,Franklin,18955,9499,7485,1274450,9456,16941,14.873082506179136,7.453411275452155,5.873121738789282,7.41967123072698,13.292792969516261
2017,Franklin,18800,10035,11870,1295510,8765,20635,14.511659500891541,7.745984206991841,9.162414801892691,6.7656752938997,15.92809009579239
2018,Franklin,18266,10171,3659,1307698,8095,11754,13.968056844929027,7.777789673150834,2.798046643796962,6.190267171778193,8.988313815575156
2019,Franklin,18350,10162,628,1316756,8188,8816,13.935763345676799,7.71745106914265,0.4769296665441433,6.2183122765341485,6.695241943078292
2020,Franklin,17498,11879,-4696,1324441,5619,923,13.211611540264911,8.969066949754652,-3.545646804953939,4.242544590510261,0.6968977855563215
2021,Franklin,17368,11870,-12409,1317346,5498,-6911,13.184083756279671,9.010540890548118,-9.419696875384295,4.173542865731554,-5.2461540096527415
2022,Franklin,17425,11245,-184,1321730,6180,5996,13.18347922798151,8.507789034068985,-0.13921148797409455,4.675690193912524,4.536478705938429
2023,Franklin,17056,10669,-2527,1326063,6387,3860,12.862134001174905,8.045620758591408,-1.9056409838748234,4.816513242583497,2.9108722587086735
2010,Hocking,338,284,272,29478,54,326,11.466178166768437,9.634303548408983,9.227220299884658,1.8318746183594543,11.059094918244114
2011,Hocking,308,318,-14,29466,-10,-24,10.45272517477771,10.792099368764,-0.475123871580805,-0.33937419398628926,-0.8144980655670943
2012,Hocking,322,312,-174,29304,10,-164,10.988260988260988,10.647010647010648,-5.937755937755938,0.34125034125034126,-5.5965055965055965
2013,Hocking,322,315,-678,28653,7,-671,11.237915750532231,10.993613234216314,-23.662443723170348,0.24430251631591807,-23.418141206854433
2014,Hocking,302,306,85,28743,-4,81,10.50690602929409,10.646070347562885,2.9572417632119126,-0.13916431826879588,2.8180774449431167
2015,Hocking,325,265,-266,28500,60,-206,11.403508771929825,9.298245614035087,-9.333333333333334,2.1052631578947367,-7.228070175438597
2016,Hocking,299,303,-140,28393,-4,-144,10.530764625083647,10.671644419399147,-4.93079280104251,-0.1408797943155003,-5.07167259535801
2017,Hocking,316,336,81,28436,-20,61,11.11267407511605,11.816007877338585,2.848501899001266,-0.7033338022225348,2.145168096778731
2018,Hocking,286,360,-57,28357,-74,-131,10.085693126917516,12.695278061854216,-2.0100856931269178,-2.6095849349367,-4.619670628063617
2019,Hocking,312,344,-49,28264,-32,-81,11.038777243136146,12.170959524483441,-1.7336541183130485,-1.132182281347297,-2.8658363996603455
2020,Hocking,286,391,-68,28040,-105,-173,10.199714693295293,13.944365192582026,-2.425106990014265,-3.7446504992867333,-6.1697574893009985
2021,Hocking,272,437,212,28101,-165,47,9.679370840895341,15.551048005409061,7.544215508344899,-5.871677164513718,1.6725383438311805
2022,Hocking,277,400,-116,27818,-123,-239,9.957581422100798,14.379178948882018,-4.169961895175785,-4.421597526781221,-8.591559421957006
2023,Hocking,269,335,-153,27540,-66,-219,9.767610748002905,12.164124909222949,-5.555555555555555,-2.396514161220044,-7.9520697167756
2010,Knox,743,598,372,61090,145,517,12.16238336880013,9.78883614339499,6.08937633000491,2.3735472254051397,8.46292355541005
2011,Knox,684,648,133,61283,36,169,11.16133348563223,10.573894881125272,2.1702592888729337,0.5874386045069595,2.757697893379893
2012,Knox,771,624,-634,60764,147,-487,12.688433941149365,10.269238364821275,-10.433809492462641,2.419195576328089,-8.014613916134554
2013,Knox,711,566,-18,60858,145,127,11.682934043182492,9.300338492885077,-0.29577048210588586,2.3825955502974137,2.086825068191528
2014,Knox,709,563,30,61000,146,176,11.62295081967213,9.229508196721312,0.4918032786885246,2.3934426229508197,2.8852459016393444
2015,Knox,750,628,-140,61001,122,-18,12.294880411796528,10.294913198144293,-2.295044343535352,1.9999672136522353,-0.2950771298831167
2016,Knox,769,662,-213,60909,107,-106,12.625391978196983,10.868672938317818,-3.497020144806186,1.7567190398791641,-1.7403011049270223
2017,Knox,723,646,306,61271,77,383,11.8000359060567,10.54332392159423,4.9942060681235825,1.25671198446247,6.250918052586052
2018,Knox,778,649,485,61900,129,614,12.568659127625203,10.48465266558966,7.835218093699516,2.0840064620355414,9.919224555735056
2019,Knox,715,565,314,62322,150,464,11.472674176053399,9.065819453804435,5.0383492185745,2.406854722248965,7.445203940823465
2020,Knox,716,769,196,62803,-53,143,11.40072926452558,12.24463799500024,3.1208700221327006,-0.8439087304746589,2.2769612916580417
2021,Knox,784,815,-200,62543,-31,-231,12.535375661544858,13.031034648162064,-3.197799913659402,-0.49565898661720736,-3.69345890027661
2022,Knox,722,740,684,63196,-18,666,11.424773719855688,11.7096018735363,10.823469839863282,-0.2848281536806127,10.53864168618267
2023,Knox,702,709,86,63320,-7,79,11.086544535691724,11.197094125078964,1.3581806696146557,-0.11054958938723942,1.2476310802274162
2010,Licking,1991,1458,408,166705,533,941,11.943253051798086,8.745988422662787,2.447437089469422,3.1972646291352986,5.64470171860472
2011,Licking,1927,1428,-33,167164,499,466,11.52760163671604,8.542509152688378,-0.1974109257974205,2.985092484027662,2.787681558230241
2012,Licking,1954,1555,6,167589,399,405,11.659476457285383,9.278651940163137,0.035801872437928504,2.3808245171222455,2.416626389560174
2013,Licking,1901,1468,454,168461,433,887,11.284510955057847,8.714183104694854,2.6949857830595803,2.570327850362992,5.265313633422572
2014,Licking,2086,1550,529,169410,536,1065,12.313322708222655,9.149400861814533,3.1226019715483146,3.1639218464081225,6.2865238179564376
2015,Licking,1885,1701,894,170611,184,1078,11.048525593308756,9.970048824518935,5.239990387489669,1.0784767687898202,6.31846715627949
2016,Licking,2101,1574,1011,171993,527,1538,12.215613426127808,9.151535236899177,5.878146203624566,3.0640781892286313,8.942224392853198
2017,Licking,1900,1705,1274,173617,195,1469,10.943628792111372,9.8204668897631,7.337991095342047,1.1231619023482724,8.461152997690318
2018,Licking,2009,1754,1736,175666,255,1991,11.436476039757267,9.984857627543178,9.882390445504537,1.451618412214088,11.334008857718626
2019,Licking,2004,1801,943,176862,203,1146,11.33086813447773,10.183080593909375,5.331840644118013,1.1477875405683529,6.479628184686366
2020,Licking,1848,1953,828,178784,-105,723,10.336495435833184,10.923796312869161,4.631286916055128,-0.5873008770359764,4.043986039019152
2021,Licking,1961,2178,1341,180021,-217,1124,10.893173574194122,12.098588498008567,7.449130934724283,-1.205414923814444,6.243716010909838
2022,Licking,1891,1987,2002,181765,-96,1906,10.40354303633813,10.931697521525047,11.014221659835503,-0.5281544851869172,10.486067174648586
2023,Licking,1842,1861,1433,183201,-19,1414,10.054530270031277,10.158241494314987,7.822009705187199,-0.10371122428371024,7.7182984809034885
2010,Logan,559,469,-320,45743,90,-230,12.220449030452746,10.252934875281463,-6.99560588505345,1.967514155171283,-5.028091729882168
2011,Logan,536,423,-256,45623,113,-143,11.748460206474805,9.271639304736647,-5.611204874734235,2.4768209017381584,-3.1343839729960767
2012,Logan,537,456,-297,45410,81,-216,11.825589077295751,10.041841004184102,-6.540409601409381,1.7837480731116495,-4.756661528297732
2013,Logan,570,480,-100,45393,90,-10,12.55700218095301,10.574317626065692,-2.202982838763686,1.9826845548873173,-0.2202982838763686
2014,Logan,532,499,12,45473,33,45,11.69925010445759,10.973544740835221,0.2638928594990434,0.7257053636223694,0.9895982231214128
2015,Logan,581,511,-238,45250,70,-168,12.839779005524862,11.292817679558011,-5.259668508287293,1.5469613259668509,-3.712707182320442
2016,Logan,501,503,-168,45128,-2,-170,11.101755007977308,11.146073391242687,-3.722744194291792,-0.04431838326537848,-3.7670625775571707
2017,Logan,533,504,88,45198,29,117,11.792557192796142,11.150935882118677,1.9469888048143722,0.6416213106774636,2.5886101154918357
2018,Logan,566,509,53,45332,57,110,12.485661342980675,11.228271419747639,1.1691520338833494,1.2573899232330363,2.4265419571163855
2019,Logan,535,503,292,45672,32,324,11.71396041338238,11.01331231389035,6.393413907864775,0.7006480994920302,7.094062007356806
2020,Logan,486,572,-256,46116,-86,-342,10.53864168618267,12.403504206782895,-5.5512186659727645,-1.8648625206002256,-7.41608118657299
2021,Logan,541,624,88,46158,-83,5,11.720611811603622,13.518783309502144,1.9064950821092768,-1.7981714978985224,0.10832358421075436
2022,Logan,497,550,26,46062,-53,-27,10.789805045373628,11.940428118622727,0.5644566019712561,-1.1506230732490992,-0.5861664712778429
2023,Logan,505,544,10,46057,-39,-29,10.964674208046551,11.811451028073908,0.21712226154547626,-0.8467768200273573,-0.6296545584818811
2010,Madison,418,382,120,43434,36,156,9.623797025371829,8.794953262421146,2.762812543168946,0.8288437629506838,3.59165630611963
2011,Madison,424,365,-375,43114,59,-316,9.834392540706036,8.46592754093798,-8.697870761237649,1.368464999768057,-7.329405761469593
2012,Madison,425,406,-180,42991,19,-161,9.88579004908004,9.443837082179991,-4.1869228443162525,0.44195296690004887,-3.7449698774162035
2013,Madison,422,397,297,43256,25,322,9.755872017754763,9.177917514333272,6.866099500647309,0.5779545034214907,7.4440540040688
2014,Madison,430,376,657,43980,54,711,9.777171441564349,8.549340609367896,14.938608458390178,1.227830832196453,16.16643929058663
2015,Madison,407,423,142,44139,-16,126,9.220870432044224,9.583361652959967,3.217109585627223,-0.36249122091574343,2.8546183647114796
2016,Madison,414,448,-749,43377,-34,-783,9.544228508195587,10.328054037854162,-17.267215344537426,-0.7838255296585748,-18.051040874196
2017,Madison,445,445,672,44041,0,672,10.104221066733272,10.104221066733272,15.258509116505076,0.0,15.258509116505076
2018,Madison,431,405,330,44389,26,356,9.709612741895514,9.123882042848454,7.434274257135776,0.5857306990470612,8.020004956182838
2019,Madison,460,439,295,44731,21,316,10.283695870872549,9.814222798506629,6.594978873711743,0.46947307236592073,7.064451946077664
2020,Madison,433,473,-12,43849,-40,-52,9.87479760085749,10.787019088234624,-0.27366644621314057,-0.9122214873771353,-1.1858879335902759
2021,Madison,425,557,673,44428,-132,541,9.566039434590799,12.537138741334294,15.148104798775547,-2.971099306743495,12.177005492032052
2022,Madison,473,456,-823,43581,17,-806,10.853353525618962,10.46327528051215,-18.884376218994515,0.39007824510681255,-18.4942979738877
2023,Madison,432,457,1038,44602,-25,1013,9.685664319985651,10.246177301466302,23.272498991076635,-0.5605129814806511,22.711986009595982
2010,Marion,811,655,-184,66458,156,-28,12.203196003490927,9.855848806765175,-2.7686659243431944,2.3473471967257518,-0.4213187276174426
2011,Marion,776,643,-43,66599,133,90,11.651826604003062,9.65479962161594,-0.6456553401702728,1.9970269823871227,1.35137164221685
2012,Marion,790,712,-402,66277,78,-324,11.919670473920062,10.742791617001373,-6.065452570273247,1.1768788569186897,-4.888573713354558
2013,Marion,773,705,-380,65964,68,-312,11.718513128373052,10.687647807895216,-5.760717967376145,1.0308653204778364,-4.729852646898308
2014,Marion,709,733,-235,65791,-24,-259,10.77654998404037,11.141341520876717,-3.571917131522549,-0.3647915368363454,-3.9367086683588943
2015,Marion,735,758,-329,65431,-23,-352,11.233207501031622,11.584722837798598,-5.028197643318916,-0.35151533676697594,-5.379712980085892
2016,Marion,763,787,43,65467,-24,19,11.654726808926634,12.021323720347656,0.6568194662959965,-0.3665969114210213,0.29022255487497517
2017,Marion,747,763,-335,65076,-16,-351,11.478886225336531,11.724752596963551,-5.147827155940747,-0.24586637162702074,-5.393693527567767
2018,Marion,737,790,349,65427,-53,296,11.26446268360157,12.074525807388385,5.3341892490867675,-0.8100631237868158,4.5241261252999525
2019,Marion,740,814,-336,65093,-74,-410,11.36834989937474,12.505184889312215,-5.161845359716098,-1.1368349899374741,-6.298680349653572
2020,Marion,683,842,180,65388,-159,21,10.445341652902673,12.876980485716032,2.752798678656634,-2.43163883281336,0.32115984584327395
2021,Marion,708,934,69,65310,-226,-157,10.840606338998622,14.301025876588577,1.056499770326137,-3.4604195375899556,-2.403919767263819
